        ComfortVanPlusStatus, Плюс (+) VAN - комфорт
        EconomyModeStatus, Экономичный режим
        FactoryModeStatus, Заводской режим
        PresenceOfPlusAccessories, Наличие "+" на аксессуарах
        PresenceOfPlusIgnition, Наличие "+" на зажигании
        AlternatorExcitationVoltage, Напряжение возбуждения на генераторе переменного тока
        FuelPumpSupplyCutOff, Отсечка напряжения на топливном насосе
        FuelPumpRelayOutputStatus, Статус на выходе реле топливного насоса
        AirPumpControl, Управление воздушным насосом
        DieselWaterAirPumpRelayOutputStatus, Статус на выходе реле воздушного/топливного насоса дизельного двигателя
        SmoothedConsumption, Сглаженное значение расхода топлива
        TotalMileage, Общий пробег
        AverageFuelConsumption, Средний расход топлива
        AverageJourneyConsumption, Средний расход топлива за поездку
        FanRelayOutput, Выход реле вентилятора
        AirConditioningCompressorRelayOutput, Выход реле компрессора кондиционера
        EvaporatorIcingUpSafetyStatus, Статус защиты испарителя от обледенения
        EvaporatorSensorTemperature, Температура датчика испарителя
        FanMidSpeedControl, Управление средней скоростью вентилятора
        AirConditioningCompressorControl, Контроль компрессора кондиционера
        FanUnitSpeedSetting, Установленная скорость вращения вентилятора
        EspDeactivationRequest, Запрос на деактивацию ESP
        AutomaticGearboxSnowProgramRequest, Запрос на "снежную" программу автоматической коробки передач
        ParkingBrake, Парковочный тормоз
        BrakePedal, Положение педали тормоза
        ReverseGearInfo, Информация о включенной задней передаче
        DriverSeatBeltFastened, Водительский ремень безопасности пристёгнут
        PassengerSeatBeltFastened, Пассажирский ремень безопасности пристёгнут
        AutomaticGearboxInParkPosition, Автоматическая коробка в положении парковки
        FrontLhWheelTyreDeflationDetectionSensorStatus, Статус датчика давления переднего левого колеса
        FrontRhWheelTyreDeflationDetectionSensorStatus, Статус датчика давления переднего правого колеса
        RearRhWheelTyreDeflationDetectionSensorStatus, Статус датчика давления заднего правого колеса
        RearLhWheelTyreDeflationDetectionSensorStatus, Статус датчика давления заднего левого колеса
        ValidityOfTyreDeflationSensorStatusParameters, Правильность показаний датчиков давления в колёсах
        DeflationDetectionFrontLhTyrePressure, Показания датчика снижения давления переднего левого колеса
        DeflationDetectionFrontRhTyrePressure, Показания датчика снижения давления переднего правого колеса
        DeflationDetectionRearRhTyrePressure, Показания датчика снижения давления заднего правого колеса
        DeflationDetectionRearLhTyrePressure, Показания датчика снижения давления заднего левого колеса
        FrontLhTyrePressureStatus, Оценка давления в переднем левом колесе
        FrontRhTyrePressureStatus, Оценка давления в переднем правом колесе
        RearRhTyrePressureStatus, Оценка давления в заднем правом колесе
        RearLhTyrePressureStatus, Оценка давления в заднем левом колесе
        FrontSillLightingControl, Контроль освещения передних порогов
        RearFogLampsControl, Контроль задних противотуманных фар
        RightHandIndicatorsControl, Контроль правых указателей поворота
        LeftHandIndicatorsControl, Контроль левых указателей поворота
        BootLightingCommand, Команда на освещение багажника
        InteriorLampControl, Контроль лампы внутреннего освещения
        HornControl, Контроль звукового сигнала
        DippedBeamControl, Контроль ближнего света
        MainBeamControl, Контроль дальнего света
        InteriorLampRequest, Запрос на внутреннее освещение
        AutomaticLightingMode, Автоматический выбор режима освещения
        HeadlampBeamCorrectorFault, Наличие ошибки корректора фар
        InteriorLampControlRelayOutput, Сигнал на выходе реле контроля лампы внутреннего света
        BootLampControlRelayOutput, Сигнал на выходе реле контроля лампы освещения багажника
        RhAndLhIndicatorRelayOutput, Сигнал на выходе реле контроля ламп указателей поворота
        SidelampsControl, Контроль боковых ламп
        VolumetricBreakinDetection, Объёмный датчик взлома
        VolumetricProtectionDeactivation, Деактивация защиты с помощью объёмного датчика
        BonnetLock, Замок капота
        BootLock, Замок багажника
        LockLockingControl, Контроль закрытия замка
        LockUnlockingControl, Контроль открытия замка
        DeadlockingControl, Контроль блокировки замка
        BootLockingControl, Контроль закрытия замка багажника
        RearRightHandDoorSwitch, Ручка задней правой двери
        RearLeftHandDoorSwitch, Ручка задней левой двери
        BootOpeningRequest, Запрос на открытие багажника
        LocksLockingRelayOutput, Сигнал на выходе реле закрытия замка
        LocksUnlockingRelayOutput, Сигнал на выходе реле открытия замка
        LocksDeadlockingRelayOutput, Сигнал на выходе реле блокировки замка
        BootOpeningRelayOutput, Сигнал на выходе реле открытия замка багажника
        FrontRightHandLockUnlockingInformation, Информация об отпирании переднего правого замка
        FrontLeftHandLockUnlockingInformation, Информация об отпирании переднего левого замка
        ChildSafetyActivationControl, Контроль активации защиты ребёнка
        ChildSafetyDeactivationControl, Контроль деактивации защиты ребёнка
        CoolantLevelWarning, Предупреждение о низком уровне охлаждающей жидкости
        OilPressureWarning, Предупреждение о давлении масла
        WaterInDiesel, Вода в дизеле
        MeasuredOilLevel, Уровень масла
        GrossFuelLevel, Уровень топлива (брутто)
        ExteriorAirTemperature, Температура воздуха снаружи
        OilTemperature, Температура масла
        FilteredFuelLevel, Уровень топлива (фильтрованный)
        DisplayedFuelLevel, Отображаемый уровень топлива
        NumberOfServicesPerformed, Количество пройденных сервисов
        FuelSenderImpedance, Сопротивление датчика уровня топлива
        LowBrakeFluidWarning, Предупреждение о низком уровне тормозной жидкости
        SunlightSensorDuskValue, Уровень сумерек датчика солнечного света
        VehicleProtectionStatusLedControl, Светодиод контроля защиты транспортного средства
        LowScreenWashLevelDisplay, Индикатор низкого уровня омывающей жидкости
        RearRhWindowRaiseControl, Контроль поднятия заднего правого стекла
        RearLhWindowRaiseControl, Контроль поднятия заднего левого стекла
        RearRhWindowLowerControl, Контроль опускания заднего правого стекла
        RearLhWindowLowerControl, Контроль опускания заднего левого стекла
        RearScreenWiperControl, Контроль заднего стеклоочистителя
        WindscreenWiperControlAtHighSpeed, Контроль стеклоочистителей лобового стекла на высокой скорости
        SlowSpeedWindscreenWiperControl, Контроль стеклоочистителей лобового стекла на низкой скорости
        WindscreenWiperControl, Контроль стеклоочистителей лобового стекла
        RearScreenWashControl, Контроль заднего стеклоомывателя
        WindscreenWasherControl, Контроль переднего стеклоомывателя
        HeadlampWasherControl, Контроль омывателя фар
        RearWiperParkedPositionInformation, Информация о парковочном положении заднего стеклоочистителя
        WindscreenWiperParkedPositionInformation, Информация о парковочном положении переднего стеклоочистителя
        HeatedRearScreenPushButton, Нажатие кнопки обогрева заднего стекла
        HazardWarningLampPushButton, Нажатие кнопки аварийного сигнала
        AirConditioningPushButton, Нажатие кнопки кондиционера
        ControlPanelBrightnessLevel, Уровень яркости подсветки панели управления
        SuspensionControlButton, Кнопка контроля подвески
        AirTurbineSpeed, Скорость воздушной турбины
        MeteringPumpSpeed, Скорость насоса-дозатора
        SparkPlugSpeed, Скорость свечей зажигания
        AdditionalHeatingStatus, Состояние дополнительного подогрева
        HeatingStatus, Подогрев
        FlamePresence, Наличие возгорания
        IncandescentElementStatus, Состояние лампы накаливания
        FuelPumpStatus, Состояние топливного насоса
        AirTurbine, Воздушная турбина
        WaterPump, Водяной насос
        NoLoadShedding, Нет сброса нагрузки
        PreheaterPlugLoadShedding, Сброс нагрузки свечей предварительного подогрева
        ForcedFanUnitMidSpeedLoadShedding, Принудительный сброс нагрузки вентилятора на средней скорости
        ForcedFanUnitLowSpeedLoadShedding, Принудительный сброс нагрузки вентилятора на низкой скорости
        ForcedDeicingLoadShedding, Принудительный сброс нагрузки защиты от обледенения
